variant,alpha,beta,gamma,seed,description,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,total_compute_cost,forced_execute_steps,action_count_Execute_Ready_Job,action_count_Defer_Job,action_count_Scale_Up,action_count_Scale_Down,action_count_Reprioritize_Queue,action_count_Pause_LowPriority_Job
stress_guard_price_1_1,1.0,0.1,1.0,103,Make the stress guard always pass on price (>= any spot). Tests whether the price side of the guard is binding.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
stress_guard_price_1_1,1.0,0.1,1.0,104,Make the stress guard always pass on price (>= any spot). Tests whether the price side of the guard is binding.,300,59,14,0.59,0.6824636987394287,726.186,256,256,0,43,0,0,1
stress_guard_failure_2,1.0,0.1,1.0,100,Make the stress guard always pass on failure pressure. Tests whether the failure side of the guard is binding.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
stress_guard_failure_2,1.0,0.1,1.0,101,Make the stress guard always pass on failure pressure. Tests whether the failure side of the guard is binding.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
stress_guard_failure_2,1.0,0.1,1.0,102,Make the stress guard always pass on failure pressure. Tests whether the failure side of the guard is binding.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
stress_guard_failure_2,1.0,0.1,1.0,103,Make the stress guard always pass on failure pressure. Tests whether the failure side of the guard is binding.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
stress_guard_failure_2,1.0,0.1,1.0,104,Make the stress guard always pass on failure pressure. Tests whether the failure side of the guard is binding.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
no_executable_off,1.0,0.1,1.0,100,Treat 'no ready task fits' as 0 rather than -10000. Changes which action wins when the queue is blocked.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
no_executable_off,1.0,0.1,1.0,101,Treat 'no ready task fits' as 0 rather than -10000. Changes which action wins when the queue is blocked.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
no_executable_off,1.0,0.1,1.0,102,Treat 'no ready task fits' as 0 rather than -10000. Changes which action wins when the queue is blocked.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
no_executable_off,1.0,0.1,1.0,103,Treat 'no ready task fits' as 0 rather than -10000. Changes which action wins when the queue is blocked.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
no_executable_off,1.0,0.1,1.0,104,Treat 'no ready task fits' as 0 rather than -10000. Changes which action wins when the queue is blocked.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
scale_up_cheaper,1.0,0.1,1.0,100,Cut scale_up_price_weight from 8 to 1: Scale_Up should win much more often when not forced.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
scale_up_cheaper,1.0,0.1,1.0,101,Cut scale_up_price_weight from 8 to 1: Scale_Up should win much more often when not forced.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
scale_up_cheaper,1.0,0.1,1.0,102,Cut scale_up_price_weight from 8 to 1: Scale_Up should win much more often when not forced.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
scale_up_cheaper,1.0,0.1,1.0,103,Cut scale_up_price_weight from 8 to 1: Scale_Up should win much more often when not forced.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
scale_up_cheaper,1.0,0.1,1.0,104,Cut scale_up_price_weight from 8 to 1: Scale_Up should win much more often when not forced.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
pause_disabled,1.0,0.1,1.0,100,Disable Pause_LowPriority_Job entirely by making its score extremely negative. Isolates the role of pause in non-forced steps.,300,63,18,0.63,0.7181920380901997,731.286,238,275,0,25,0,0,0
pause_disabled,1.0,0.1,1.0,101,Disable Pause_LowPriority_Job entirely by making its score extremely negative. Isolates the role of pause in non-forced steps.,300,57,22,0.57,0.6445611156685809,909.308,219,270,0,30,0,0,0
pause_disabled,1.0,0.1,1.0,102,Disable Pause_LowPriority_Job entirely by making its score extremely negative. Isolates the role of pause in non-forced steps.,300,58,20,0.58,0.6176386732980644,676.4,259,270,0,30,0,0,0
pause_disabled,1.0,0.1,1.0,103,Disable Pause_LowPriority_Job entirely by making its score extremely negative. Isolates the role of pause in non-forced steps.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
pause_disabled,1.0,0.1,1.0,104,Disable Pause_LowPriority_Job entirely by making its score extremely negative. Isolates the role of pause in non-forced steps.,300,61,11,0.61,0.6980373384394446,685.35,239,251,0,48,0,1,0
alpha_only_with_guard_off,5.0,0.0,0.0,100,Only alpha is on. This is the cleanest test of whether alpha alone (times value_term) is enough to keep execute winning.,300,63,18,0.63,0.7181920380901997,731.286,238,275,0,25,0,0,0
alpha_only_with_guard_off,5.0,0.0,0.0,101,Only alpha is on. This is the cleanest test of whether alpha alone (times value_term) is enough to keep execute winning.,300,57,22,0.57,0.6445611156685809,909.308,219,270,0,30,0,0,0
alpha_only_with_guard_off,5.0,0.0,0.0,102,Only alpha is on. This is the cleanest test of whether alpha alone (times value_term) is enough to keep execute winning.,300,58,20,0.58,0.6176386732980644,676.4,259,270,0,30,0,0,0
alpha_only_with_guard_off,5.0,0.0,0.0,103,Only alpha is on. This is the cleanest test of whether alpha alone (times value_term) is enough to keep execute winning.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
alpha_only_with_guard_off,5.0,0.0,0.0,104,Only alpha is on. This is the cleanest test of whether alpha alone (times value_term) is enough to keep execute winning.,300,60,11,0.6,0.6837083133875858,731.72,230,247,0,39,0,0,14
