variant,seed,step,action,forced_execute,score_Execute_Ready_Job,score_Defer_Job,score_Scale_Up,score_Scale_Down,score_Reprioritize_Queue,score_Pause_LowPriority_Job
reference_phase1,100,115,Execute_Ready_Job,True,6.5692,-7.3464,-25.0,-20.0,1.2032,18.2
reference_phase1,100,116,Execute_Ready_Job,True,6.8836,-7.5064,-25.0,-20.0,1.0032,17.4
reference_phase1,100,117,Execute_Ready_Job,True,6.8764,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,118,Execute_Ready_Job,True,6.44802,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,119,Execute_Ready_Job,True,6.14802,-7.3504,-6.0,-20.0,1.2052,18.2
reference_phase1,100,120,Execute_Ready_Job,True,6.44602,-7.5104,-6.0,-20.0,1.0052,17.4
reference_phase1,100,121,Execute_Ready_Job,True,6.14802,-7.5104,-6.0,-20.0,1.0052,17.4
reference_phase1,100,122,Execute_Ready_Job,True,6.14002,-7.5104,-6.0,-20.0,1.0052,17.4
reference_phase1,100,123,Execute_Ready_Job,True,6.12602,-7.5104,-6.0,-20.0,1.0052,17.4
reference_phase1,100,124,Execute_Ready_Job,True,6.41602,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,125,Execute_Ready_Job,True,6.40802,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,126,Execute_Ready_Job,True,6.41402,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,127,Execute_Ready_Job,True,6.41602,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,128,Execute_Ready_Job,True,6.41202,-7.5108,-6.0,-20.0,1.0054,17.4
reference_phase1,100,129,Execute_Ready_Job,True,6.41802,-7.5044,-6.0,-20.0,1.0022,17.4
reference_phase1,100,130,Execute_Ready_Job,True,6.42202,-7.5044,-6.0,-20.0,1.0022,17.4
reference_phase1,100,131,Execute_Ready_Job,True,6.43202,-7.5056,-6.0,-20.0,1.0028,17.4
reference_phase1,100,132,Execute_Ready_Job,True,6.42802,-7.5056,-6.0,-20.0,1.0028,17.4
reference_phase1,100,133,Execute_Ready_Job,True,6.41602,-7.5056,-6.0,-20.0,1.0028,17.4
reference_phase1,100,134,Execute_Ready_Job,True,6.40402,-7.5056,-6.0,-20.0,1.0028,17.4
reference_phase1,100,135,Execute_Ready_Job,True,6.39202,-7.5056,-6.0,-20.0,1.0028,17.4
reference_phase1,100,136,Scale_Up,False,-10000.0,-7.5056,305.7256,-20.0,1.0028,17.4
reference_phase1,100,137,Execute_Ready_Job,True,6.018789,-7.5056,-25.0,-20.0,1.0028,17.4
reference_phase1,100,138,Execute_Ready_Job,True,5.032153,-7.5056,-25.0,-20.0,1.0028,17.4
reference_phase1,100,139,Execute_Ready_Job,True,6.09402,-7.508,-6.0,-20.0,1.004,17.4
reference_phase1,100,140,Execute_Ready_Job,True,6.07802,-7.34,-6.0,-20.0,1.2,18.2
reference_phase1,100,141,Execute_Ready_Job,True,6.36202,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,142,Execute_Ready_Job,True,6.34802,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,143,Execute_Ready_Job,True,6.35402,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,144,Execute_Ready_Job,True,6.35202,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,145,Execute_Ready_Job,True,6.34802,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,146,Execute_Ready_Job,True,6.04002,-7.5,-6.0,-20.0,1.0,17.4
reference_phase1,100,147,Execute_Ready_Job,True,6.32802,-7.5084,-6.0,-20.0,1.0042,17.4
reference_phase1,100,148,Scale_Up,False,5.72002,-7.5084,127.0884,-20.0,1.0042,17.4
reference_phase1,100,149,Execute_Ready_Job,True,6.31202,-7.5084,-25.0,-20.0,1.0042,17.4
reference_phase1,100,150,Execute_Ready_Job,True,6.32402,-7.5084,-25.0,-20.0,1.0042,17.4
reference_phase1,100,151,Execute_Ready_Job,True,6.32602,-7.5084,-6.0,-20.0,1.0042,17.4
reference_phase1,100,152,Execute_Ready_Job,True,6.33402,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,153,Execute_Ready_Job,True,6.32202,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,154,Execute_Ready_Job,True,6.32202,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,155,Execute_Ready_Job,True,6.32002,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,156,Execute_Ready_Job,True,6.33002,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,157,Execute_Ready_Job,True,6.34402,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,158,Execute_Ready_Job,True,6.34602,-7.5072,-6.0,-20.0,1.0036,17.4
reference_phase1,100,159,Scale_Up,False,6.05802,-7.5072,90.6072,-20.0,1.0036,17.4
reference_phase1,100,160,Execute_Ready_Job,True,6.34602,-7.5072,-25.0,-20.0,1.0036,17.4
reference_phase1,100,161,Execute_Ready_Job,True,6.36002,-7.4976,-25.0,-20.0,0.9988,17.4
reference_phase1,100,162,Scale_Up,False,4.996153,-7.4976,183.7576,-20.0,0.9988,17.4
reference_phase1,100,163,Execute_Ready_Job,True,6.207558,-7.4976,-25.0,-20.0,0.9988,17.4
reference_phase1,100,164,Execute_Ready_Job,True,6.05602,-7.3372,-25.0,-20.0,1.1986,18.2
reference_phase1,100,165,Execute_Ready_Job,True,6.36002,-7.4972,-6.0,-20.0,0.9986,17.4
reference_phase1,100,166,Execute_Ready_Job,True,6.37402,-7.4972,-6.0,-20.0,0.9986,17.4
reference_phase1,100,167,Execute_Ready_Job,True,6.36602,-7.4972,-6.0,-20.0,0.9986,17.4
reference_phase1,100,168,Execute_Ready_Job,True,6.36202,-7.4972,-6.0,-20.0,0.9986,17.4
