update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
42,0,20,120,300,4.8255,1.9816973262197144,-0.08383991569280624,1.7508989572525024,-0.10134890675544739,0.42399662733078003,289,19744
43,0,20,120,300,7.1628,4.281069239294081,-0.1436583548784256,1.748465657234192,-0.1611430048942566,0.7456004619598389,267,20011
44,0,20,120,300,4.7475499999999995,2.7061347635238584,-0.012079433538019657,1.757594108581543,-0.029655374586582184,0.3307826817035675,392,20403
45,0,20,120,300,14.6371,9.254564529144918,-0.0412985235452652,1.7482324838638306,-0.05878084897994995,0.4513847231864929,337,20740
46,0,20,120,300,9.93895,6.564009040911835,-0.1739538013935089,1.7427812814712524,-0.19138161838054657,1.0239346027374268,177,20917
47,0,20,120,300,13.918099999999999,9.11951118003529,0.0153384143486619,1.7447633743286133,-0.0021092193201184273,0.5575162172317505,371,21288
48,0,20,120,300,8.674,5.682629426321239,-0.0924706906080246,1.7354801893234253,-0.1098254919052124,0.6266513466835022,314,21602
49,0,20,120,300,8.0885,5.937178758044636,-0.07894644886255264,1.7368258237838745,-0.09631470590829849,0.40286535024642944,145,21747
50,0,20,120,300,15.443900000000001,8.868808809880102,-0.05151859670877457,1.7369273900985718,-0.0688878744840622,0.2560114860534668,508,22255
51,0,20,120,300,13.052249999999997,7.9372133994553025,-0.008706476539373398,1.7367823123931885,-0.026074299588799477,0.21442528069019318,810,23065
52,0,20,120,300,18.695899999999998,11.005159686900482,0.013734179548919201,1.7461096048355103,-0.003726915456354618,0.0979747474193573,649,23714
53,0,20,120,300,17.63075,11.030130870742322,0.01605108007788658,1.7383627891540527,-0.001332547515630722,0.10845355689525604,785,24499
54,0,20,120,300,11.2773,6.184356837758234,0.024098098278045654,1.718936800956726,0.006908731535077095,0.39893296360969543,255,24754
55,0,20,120,300,8.9438,5.72272213295714,-0.02646375633776188,1.7129324674606323,-0.04359307885169983,0.34582841396331787,289,25043
56,0,20,120,300,5.4151,2.943483658530979,-0.032835762947797775,1.715600609779358,-0.04999176785349846,0.6850461363792419,146,25189
57,0,20,120,300,5.5975,2.2441051122048523,0.023960551247000694,1.716950535774231,0.006791045889258385,0.5373372435569763,323,25512
58,0,20,120,300,14.18405,8.567938419331355,0.045473869889974594,1.7105627059936523,0.02836824394762516,0.29917871952056885,524,26036
59,0,20,120,300,15.24795,9.451462661002966,-0.07620111107826233,1.7235312461853027,-0.09343641996383667,0.3031378388404846,745,26781
60,0,20,120,300,11.96785,7.820164320754024,-0.11879677325487137,1.7067397832870483,-0.13586416840553284,0.6312941908836365,290,27071
61,0,20,120,300,10.104399999999998,5.211523912375266,0.05226169154047966,1.7018896341323853,0.03524279594421387,0.4166657626628876,270,27341
62,0,20,120,300,14.517399999999999,9.242452717596844,-0.09133058041334152,1.7042243480682373,-0.10837282240390778,0.37650787830352783,254,27595
63,0,20,120,300,11.08225,7.729226033047901,-0.035440996289253235,1.7015275955200195,-0.05245627462863922,0.3613329827785492,242,27837
64,0,20,120,300,17.792299999999997,10.882148441422782,0.06723093241453171,1.7192046642303467,0.050038885325193405,0.39356663823127747,667,28504
65,0,20,120,300,7.1655500000000005,3.9266053374329295,0.07510319352149963,1.7308160066604614,0.05779503285884857,0.35837164521217346,379,28883
66,0,20,120,300,8.057049999999998,5.720518077997172,-0.036770470440387726,1.7088186740875244,-0.05385865643620491,0.3797317445278168,570,29453
67,0,20,120,300,16.6118,10.87861831032887,-0.2388678640127182,1.6981313228607178,-0.2558491826057434,1.0726490020751953,360,29813
68,0,20,120,300,6.944349999999999,4.900805504920721,-0.11637609452009201,1.6861789226531982,-0.13323788344860077,0.5336482524871826,187,30000
69,0,20,120,300,9.85345,6.413269283037188,0.016683779656887054,1.7142788171768188,-0.0004590079188346863,0.2753237187862396,510,30510
70,0,20,120,300,9.5277,6.790256257144533,-0.3267655074596405,1.7025173902511597,-0.3437906801700592,1.1922687292099,358,30868
71,0,20,120,300,4.0968,2.391435767919855,-0.01238478347659111,1.68124258518219,-0.02919720858335495,0.23628447949886322,186,31054
72,0,20,120,300,17.38565,11.171968854886345,-0.09227705746889114,1.687476396560669,-0.10915182530879974,0.3557719588279724,422,31476
73,0,20,120,300,15.560799999999997,9.126999249224099,-0.05347030609846115,1.7111045122146606,-0.0705813467502594,0.30718880891799927,1009,32485
