variant,alpha,beta,gamma,seed,description,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,total_compute_cost,forced_execute_steps,action_count_Execute_Ready_Job,action_count_Defer_Job,action_count_Scale_Up,action_count_Scale_Down,action_count_Reprioritize_Queue,action_count_Pause_LowPriority_Job
beta_0,1.0,0.0,1.0,100,Zero out beta only.,300,56,17,0.56,0.6600978706520301,587.674,0,249,0,23,0,0,28
beta_0,1.0,0.0,1.0,101,Zero out beta only.,300,57,21,0.57,0.631960623461854,755.75,0,274,0,21,0,0,5
beta_0,1.0,0.0,1.0,102,Zero out beta only.,300,58,18,0.58,0.6250197991573478,579.454,0,263,0,32,0,0,5
beta_0,1.0,0.0,1.0,103,Zero out beta only.,300,68,16,0.68,0.7221839713577527,396.792,0,278,0,22,0,0,0
beta_0,1.0,0.0,1.0,104,Zero out beta only.,300,59,10,0.59,0.6719961704164671,721.95,0,246,0,28,0,0,26
beta_0,1.0,0.0,1.0,105,Zero out beta only.,300,29,8,0.29,0.3519968157091681,415.088,0,128,0,8,0,0,164
beta_0,1.0,0.0,1.0,106,Zero out beta only.,300,63,11,0.63,0.7218628313026002,524.688,0,270,0,29,0,0,1
beta_0,1.0,0.0,1.0,107,Zero out beta only.,300,48,8,0.48,0.5821107094762208,531.738,0,203,0,18,0,0,79
beta_0,1.0,0.0,1.0,108,Zero out beta only.,300,58,9,0.58,0.6234393100785173,714.438,0,237,0,23,0,0,40
beta_0,1.0,0.0,1.0,109,Zero out beta only.,300,48,20,0.48,0.566701717490361,629.366,0,227,0,31,0,0,42
beta_0,1.0,0.0,1.0,110,Zero out beta only.,300,56,15,0.56,0.6661017523641664,769.63,0,249,0,25,0,0,26
beta_0,1.0,0.0,1.0,111,Zero out beta only.,300,45,9,0.45,0.5333382833382833,587.258,0,187,0,29,0,0,84
beta_0,1.0,0.0,1.0,112,Zero out beta only.,300,46,11,0.46,0.5462513130252101,441.846,0,199,0,17,0,0,84
beta_0,1.0,0.0,1.0,113,Zero out beta only.,300,61,18,0.61,0.6544182273003853,324.922,0,264,0,35,0,0,1
beta_0,1.0,0.0,1.0,114,Zero out beta only.,300,64,15,0.64,0.6850971780669266,429.658,0,275,0,25,0,0,0
beta_0,1.0,0.0,1.0,115,Zero out beta only.,300,38,10,0.38,0.4947068124011824,558.382,0,169,0,16,0,0,115
beta_0,1.0,0.0,1.0,116,Zero out beta only.,300,58,15,0.58,0.6475274528098758,717.018,0,259,0,30,0,0,11
beta_0,1.0,0.0,1.0,117,Zero out beta only.,300,56,13,0.56,0.6579441954604597,368.954,0,238,0,25,0,0,37
