alpha,beta,gamma,cell_id,is_reference,reference_name,seed,agent_name,mean_utility,cell_utility,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,cost,failure_rate,total_completed_value,total_job_value,completed_jobs,failed_jobs,steps_executed,hit_step_budget
0.5,0.5,2.0,alpha=0.5_beta=0.5_gamma=2,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,-227.226,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
0.5,0.5,2.0,alpha=0.5_beta=0.5_gamma=2,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,-298.289,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
0.5,0.5,2.0,alpha=0.5_beta=0.5_gamma=2,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,-119.457,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,0.5,2.0,alpha=0.5_beta=0.5_gamma=2,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,-156.065,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,0.5,2.0,alpha=0.5_beta=0.5_gamma=2,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,-199.722,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,100,Utility-Based Agent (Non-Learning Baseline),95.0912,-251.574,0.43,0.5401,0.43,602.488,0.08,163.34,302.44,43,8,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,101,Utility-Based Agent (Non-Learning Baseline),81.141,-345.8,0.48,0.564,0.48,687.49,0.22,171.89,304.75,48,22,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,102,Utility-Based Agent (Non-Learning Baseline),122.346,-220.615,0.55,0.6,0.55,470.64,0.2,189.41,315.67,55,20,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,103,Utility-Based Agent (Non-Learning Baseline),152.3868,-86.741,0.6,0.6615,0.6,237.632,0.16,192.15,290.48,60,16,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,104,Utility-Based Agent (Non-Learning Baseline),78.0778,-305.686,0.43,0.5022,0.43,672.722,0.12,157.35,313.35,43,12,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,-186.484,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,106,Utility-Based Agent (Non-Learning Baseline),151.5864,-223.468,0.6,0.6946,0.6,556.136,0.14,221.2,318.44,60,14,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,107,Utility-Based Agent (Non-Learning Baseline),98.7324,-230.318,0.48,0.5757,0.48,567.076,0.07,162.44,282.18,48,7,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,108,Utility-Based Agent (Non-Learning Baseline),95.4002,-295.304,0.5,0.5609,0.5,668.898,0.12,174.29,310.76,50,12,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,109,Utility-Based Agent (Non-Learning Baseline),79.3406,-298.672,0.45,0.5564,0.45,604.094,0.19,158.75,285.3,45,19,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,110,Utility-Based Agent (Non-Learning Baseline),86.8316,-305.792,0.47,0.5664,0.47,682.684,0.12,167.1,295.03,47,12,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,111,Utility-Based Agent (Non-Learning Baseline),92.7794,-273.263,0.54,0.6181,0.54,617.006,0.12,166.48,269.36,54,12,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,112,Utility-Based Agent (Non-Learning Baseline),150.8106,-163.547,0.61,0.6788,0.61,429.894,0.13,206.8,304.64,61,13,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,113,Utility-Based Agent (Non-Learning Baseline),121.8944,-188.043,0.56,0.6141,0.56,397.756,0.2,181.67,295.82,56,20,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,114,Utility-Based Agent (Non-Learning Baseline),135.922,-199.975,0.61,0.6494,0.61,502.08,0.12,198.13,305.11,61,12,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,115,Utility-Based Agent (Non-Learning Baseline),76.1458,-297.781,0.41,0.5251,0.41,676.342,0.09,152.78,290.94,41,9,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,116,Utility-Based Agent (Non-Learning Baseline),76.6372,-249.534,0.44,0.5173,0.44,515.228,0.16,144.16,278.66,44,16,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,117,Utility-Based Agent (Non-Learning Baseline),125.397,-147.885,0.56,0.632,0.56,374.63,0.12,174.86,276.68,56,12,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,118,Utility-Based Agent (Non-Learning Baseline),97.2524,-229.733,0.51,0.555,0.51,408.576,0.27,165.11,297.48,51,27,300,True
0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,119,Utility-Based Agent (Non-Learning Baseline),131.2046,-210.892,0.59,0.6311,0.59,466.654,0.19,196.87,311.96,59,19,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,100,Utility-Based Agent (Non-Learning Baseline),124.0012,-484.143,0.55,0.653,0.55,574.888,0.16,197.49,302.44,55,16,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,-669.955,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,-489.804,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,-299.902,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,-621.665,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,-366.028,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,-415.253,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,107,Utility-Based Agent (Non-Learning Baseline),103.0862,-453.608,0.48,0.5821,0.48,531.738,0.08,164.26,282.18,48,8,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,108,Utility-Based Agent (Non-Learning Baseline),113.2962,-622.068,0.58,0.6234,0.58,714.438,0.09,193.74,310.76,58,9,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,109,Utility-Based Agent (Non-Learning Baseline),78.7434,-558.526,0.48,0.5667,0.48,629.366,0.2,161.68,285.3,48,20,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,110,Utility-Based Agent (Non-Learning Baseline),104.557,-678.87,0.56,0.6661,0.56,769.63,0.15,196.52,295.03,56,15,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,-519.928,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,-364.141,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,-237.127,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,-332.643,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,-491.417,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,-634.298,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,-284.434,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,-329.98,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,-418.369,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,100,Utility-Based Agent (Non-Learning Baseline),124.646,-477.05,0.55,0.65,0.55,559.34,0.16,196.58,302.44,55,16,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,101,Utility-Based Agent (Non-Learning Baseline),92.1822,-663.423,0.55,0.6159,0.55,735.278,0.22,187.71,304.75,55,22,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,-498.804,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,103,Utility-Based Agent (Non-Learning Baseline),146.1758,-331.697,0.66,0.7053,0.66,417.142,0.17,204.89,290.48,66,17,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,-626.665,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,-370.028,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,-420.753,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,107,Utility-Based Agent (Non-Learning Baseline),103.0862,-457.608,0.48,0.5821,0.48,531.738,0.08,164.26,282.18,48,8,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,108,Utility-Based Agent (Non-Learning Baseline),108.5356,-609.054,0.56,0.6075,0.56,692.444,0.11,188.78,310.76,56,11,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,109,Utility-Based Agent (Non-Learning Baseline),78.7434,-568.526,0.48,0.5667,0.48,629.366,0.2,161.68,285.3,48,20,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,110,Utility-Based Agent (Non-Learning Baseline),104.557,-686.37,0.56,0.6661,0.56,769.63,0.15,196.52,295.03,56,15,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,-524.428,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,-369.641,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,-246.127,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,-340.143,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,-496.417,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,-641.798,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,-290.934,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,-340.98,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,-429.369,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,100,Utility-Based Agent (Non-Learning Baseline),125.3358,-284.892,0.44,0.5604,0.44,351.642,0.09,169.5,302.44,44,9,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,101,Utility-Based Agent (Non-Learning Baseline),92.8438,-675.712,0.54,0.6094,0.54,728.562,0.2,185.7,304.75,54,20,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,102,Utility-Based Agent (Non-Learning Baseline),109.5596,-555.694,0.56,0.6013,0.56,612.604,0.19,189.82,315.67,56,19,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,103,Utility-Based Agent (Non-Learning Baseline),150.9404,-296.056,0.64,0.6977,0.64,367.396,0.15,202.68,290.48,64,15,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,-636.665,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,-378.028,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,-431.753,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,107,Utility-Based Agent (Non-Learning Baseline),103.286,-477.345,0.5,0.5932,0.5,541.04,0.1,167.39,282.18,50,10,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,108,Utility-Based Agent (Non-Learning Baseline),95.8398,-491.387,0.44,0.5182,0.44,551.902,0.1,161.03,310.76,44,10,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,109,Utility-Based Agent (Non-Learning Baseline),73.5138,-564.252,0.45,0.5385,0.45,601.062,0.2,153.62,285.3,45,20,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,110,Utility-Based Agent (Non-Learning Baseline),103.9094,-700.171,0.56,0.6605,0.56,769.606,0.14,194.87,295.03,56,14,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,111,Utility-Based Agent (Non-Learning Baseline),80.3582,-717.318,0.55,0.6319,0.55,778.418,0.12,170.2,269.36,55,12,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,-380.641,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,-264.127,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,-355.143,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,115,Utility-Based Agent (Non-Learning Baseline),107.369,-665.26,0.53,0.6465,0.53,747.31,0.06,188.1,290.94,53,6,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,116,Utility-Based Agent (Non-Learning Baseline),49.0022,-695.088,0.43,0.493,0.43,733.778,0.15,137.38,278.66,43,15,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,-303.934,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,118,Utility-Based Agent (Non-Learning Baseline),127.1732,-327.058,0.57,0.628,0.57,376.468,0.22,186.82,297.48,57,22,300,True
0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,-451.369,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,100,Utility-Based Agent (Non-Learning Baseline),100.7184,-530.241,0.44,0.556,0.44,574.316,0.1,168.15,302.44,44,10,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,101,Utility-Based Agent (Non-Learning Baseline),104.6016,-513.029,0.49,0.5779,0.49,525.084,0.19,176.11,304.75,49,19,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,102,Utility-Based Agent (Non-Learning Baseline),103.512,-455.21,0.5,0.539,0.5,456.28,0.21,170.14,315.67,50,21,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,103,Utility-Based Agent (Non-Learning Baseline),154.8096,-202.989,0.6,0.6693,0.6,236.204,0.16,194.43,290.48,60,16,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,104,Utility-Based Agent (Non-Learning Baseline),87.802,-562.095,0.43,0.508,0.43,593.68,0.12,159.17,313.35,43,12,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,105,Utility-Based Agent (Non-Learning Baseline),89.42,-573.105,0.49,0.5479,0.49,587.7,0.17,165.19,301.48,49,17,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,106,Utility-Based Agent (Non-Learning Baseline),87.6834,-496.366,0.38,0.4698,0.38,539.166,0.08,149.6,318.44,38,8,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,107,Utility-Based Agent (Non-Learning Baseline),99.7852,-410.053,0.43,0.5386,0.43,462.048,0.06,151.99,282.18,43,6,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,108,Utility-Based Agent (Non-Learning Baseline),103.0726,-455.684,0.44,0.5238,0.44,497.074,0.1,162.78,310.76,44,10,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,109,Utility-Based Agent (Non-Learning Baseline),114.5582,-551.763,0.56,0.6572,0.56,589.518,0.14,187.51,285.3,56,14,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,110,Utility-Based Agent (Non-Learning Baseline),95.1788,-646.407,0.51,0.5959,0.51,686.312,0.12,175.81,295.03,51,12,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,111,Utility-Based Agent (Non-Learning Baseline),44.0748,-469.122,0.29,0.3767,0.29,483.852,0.09,101.46,269.36,29,9,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,112,Utility-Based Agent (Non-Learning Baseline),114.0894,-511.051,0.5,0.5853,0.5,572.206,0.07,178.31,304.64,50,7,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,113,Utility-Based Agent (Non-Learning Baseline),121.8968,-350.492,0.52,0.5905,0.52,377.832,0.15,174.68,295.82,52,15,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,114,Utility-Based Agent (Non-Learning Baseline),117.6458,-405.097,0.52,0.5725,0.52,440.442,0.13,174.69,305.11,52,13,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,115,Utility-Based Agent (Non-Learning Baseline),99.3262,-468.828,0.46,0.5507,0.46,508.938,0.1,160.22,290.94,46,10,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,116,Utility-Based Agent (Non-Learning Baseline),64.6314,-457.261,0.35,0.4373,0.35,482.186,0.09,121.85,278.66,35,9,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,117,Utility-Based Agent (Non-Learning Baseline),98.3708,-540.597,0.55,0.6187,0.55,558.192,0.17,171.19,276.68,55,17,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,118,Utility-Based Agent (Non-Learning Baseline),109.597,-405.14,0.52,0.5694,0.52,417.83,0.18,169.38,297.48,52,18,300,True
0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,119,Utility-Based Agent (Non-Learning Baseline),106.4596,-497.779,0.52,0.5778,0.52,487.904,0.25,180.25,311.96,52,25,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,100,Utility-Based Agent (Non-Learning Baseline),123.8726,161.7563,0.56,0.6601,0.56,587.674,0.17,199.64,302.44,56,17,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,144.3025,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,159.3273,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,181.9404,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,169.4725,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,81.3656,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,198.1356,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,107,Utility-Based Agent (Non-Learning Baseline),103.0862,133.6731,0.48,0.5821,0.48,531.738,0.08,164.26,282.18,48,8,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,108,Utility-Based Agent (Non-Learning Baseline),113.2962,153.5181,0.58,0.6234,0.58,714.438,0.09,193.74,310.76,58,9,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,109,Utility-Based Agent (Non-Learning Baseline),78.7434,120.2117,0.48,0.5667,0.48,629.366,0.2,161.68,285.3,48,20,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,110,Utility-Based Agent (Non-Learning Baseline),104.557,150.5385,0.56,0.6661,0.56,769.63,0.15,196.52,295.03,56,15,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,109.7971,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,138.8177,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,168.3439,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,180.0471,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,111.0109,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,137.0891,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,157.0923,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,158.0085,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,155.6853,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,100,Utility-Based Agent (Non-Learning Baseline),123.8726,153.2563,0.56,0.6601,0.56,587.674,0.17,199.64,302.44,56,17,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,133.8025,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,150.3273,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,173.9404,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,164.4725,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,77.3656,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,192.6356,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
